,Id,NODE_TYPE,NODE_NAME,TURN_P,REMARK,USER_ID,WORKSTATE,DEPT_CODE,STNL_REG,TMPID,UPLOAD_ID,latitude,longitude
669,1500000700,101,반월당,1,,dgsi,5,27000,150,,,35.865482993817366,128.59334601355002
670,1500000600,101,신남사거리,1,,dgsi,5,27000,150,,,35.864878993804126,128.5823380131675
671,1500000300,101,-,1,,dgsi,5,27000,150,,,35.86266299405892,128.5741370130592
672,1500000200,101,수성교네거리,1,,dgsi,5,27000,150,,,35.861892993242414,128.60820701355163
673,1520000500,101,반고개네거리,1,,dgsi,5,27000,152,,,35.862068993668416,128.5720440130779
674,1520000300,101,내당역네거리,1,,dgsi,5,27000,152,,,35.86013499299181,128.5646190135273
675,1550004600,104,수성교동편,0,,dgsi,5,27000,155,,,35.861361994574715,128.60905401233842
676,1550003800,101,-,0,,dgsi,5,27000,155,,,35.85888499363914,128.640415013437
677,1550003700,101,수성구청역,1,,dgsi,5,27000,155,,,35.85884199361072,128.63576301325773
678,1550004000,101,-,0,,dgsi,5,27000,155,,,35.85928799369692,128.62397201379733
679,1550004500,101,-,1,,dgsi,5,27000,155,,,35.861100993841816,128.60948201380674
680,1550004400,101,대구은행네거리,1,,dgsi,5,27000,155,,,35.859796994325755,128.6141130134761
681,1550004300,101,수성네거리,1,,dgsi,5,27000,155,,,35.859659993642666,128.61761301315488
682,1550004200,101,-,0,,dgsi,5,27000,155,,,35.85950699411917,128.620874014131
683,1550004100,101,-,0,,dgsi,5,27000,155,,,35.85939599341932,128.62245301395043
684,1540007600,101,-,0,,dgsi,5,27000,154,,,35.95876099332809,128.55353101310757
685,1540007200,101,읍내삼거리,1,,dgsi,5,27000,154,,,35.946979993679115,128.55137601304241
686,1540006700,104,칠곡지하차도,0,,dgsi,5,27000,154,,,35.934766993687404,128.54877701267074
687,1540006300,101,칠곡네거리,1,,dgsi,5,27000,154,,,35.93276599368406,128.54845901292293
688,1540006100,104,칠곡지하차도,0,,dgsi,5,27000,154,,,35.931285993472684,128.54822501280407
689,1540006000,101,-,1,,dgsi,5,27000,154,,,35.93080699339957,128.53892801302706
690,1540005500,101,공원네거리,1,,dgsi,5,27000,154,,,35.925624994160884,128.54731901305212
691,1540005400,101,-,0,,dgsi,5,27000,154,,,35.92549899392007,128.5434960133979
692,1540005200,101,태전삼거리,1,,dgsi,5,27000,154,,,35.920227993722946,128.54647401282034
693,1540004700,101,-,1,,dgsi,5,27000,154,,,35.91356499386642,128.5484780134042
694,1570009800,105,-,0,,dgsi,5,27000,157,,,35.90620599410371,128.41084001299652
695,1540003900,101,-,0,,dgsi,5,27000,154,,,35.90366799403546,128.5468210130124
696,1540003500,101,-,1,,dgsi,5,27000,154,,,35.90241099419991,128.6036990137246
697,1540003400,101,연암네거리,1,,dgsi,5,27000,154,,,35.90167999419068,128.59631001397366
698,1540002900,101,백사벌네거리,1,,dgsi,5,27000,154,,,35.90081999346431,128.5888480128972
699,1540002700,101,산격중학교,1,,dgsi,5,27000,154,,,35.90029899426898,128.60909001329856
700,1540002600,101,노원네거리,0,,dgsi,5,27000,154,,,35.89942999364707,128.57933001337645
701,1540002500,104,복현고가차도,0,,dgsi,5,27000,154,,,35.89823499454006,128.61345501360302
702,1540002300,101,복현오거리,1,,dgsi,5,27000,154,,,35.89764299385457,128.61495401312294
703,1540002000,104,복현고가차도,0,,dgsi,5,27000,154,,,35.89674799365837,128.6160800135172
704,1540001900,101,-,0,,dgsi,5,27000,154,,,35.89689599377995,128.57478601361797
705,1540001500,101,-,0,,dgsi,5,27000,154,,,35.895334993578835,128.61785801267746
706,1540001300,101,-,0,,dgsi,5,27000,154,,,35.894828993680754,128.57123201348975
707,1540000900,101,-,0,,dgsi,5,27000,154,,,35.89306999376074,128.55264201378816
708,1540000800,101,-,1,,dgsi,5,27000,154,,,35.89279599335496,128.56773001388527
709,1540000700,101,복현네거리,1,,dgsi,5,27000,154,,,35.892371993563806,128.62221701377285
710,1510004100,101,입석사거리,1,,dgsi,5,27000,151,,,35.892075993648184,128.64353801283804
711,1540000600,101,-,1,,dgsi,5,27000,154,,,35.89248699389444,128.55318301360066
712,1540000500,101,-,1,,dgsi,5,27000,154,,,35.891527993874114,128.62412201317548
713,1540000400,101,-,0,,dgsi,5,27000,154,,,35.89127899355819,128.5650860130069
714,1540000300,101,상신삼거리,1,,dgsi,5,27000,154,,,35.89095599404051,128.55461301356752
715,1510004000,101,-,0,,dgsi,5,27000,151,,,35.889881993747,128.64229501335365
716,1510003900,104,아양교동측,0,,dgsi,5,27000,151,,,35.889709993956146,128.6422130138873
717,1540000200,101,만평네거리,1,,dgsi,5,27000,154,,,35.889699993698486,128.56228701383932
718,1510003700,104,아양교,0,,dgsi,5,27000,151,,,35.88786999370888,128.641012012783
719,1510003600,101,아양네거리,1,,dgsi,5,27000,151,,,35.88754599360632,128.64072601271155
720,1510003500,101,등촌네거리,0,,dgsi,5,27000,151,,,35.887397994056734,128.65192901363287
721,1510003400,104,큰고개고가차도,0,,dgsi,5,27000,151,,,35.88740999296685,128.63059601334575
722,1510003300,101,큰고개오거리,1,,dgsi,5,27000,151,,,35.88561699322484,128.6329790127701
723,1520001800,101,-,0,,dgsi,5,27000,152,,,35.88597199358204,128.5575530134197
724,1510003200,101,등촌초등삼거리,0,,dgsi,5,27000,151,,,35.883770993928614,128.6585250136647
725,1510003000,104,큰고개고가차도,0,,dgsi,5,27000,151,,,35.882576993741694,128.63601901303716
726,1520001700,104,평리교,0,,dgsi,5,27000,152,,,35.88293699374369,128.55589201240892
727,1510002900,101,-,0,,dgsi,5,27000,151,,,35.8823989934868,128.6361940124776
728,1520001600,101,평리교,1,,dgsi,5,27000,152,,,35.88217299399761,128.55543501313204
729,1510002500,104,동부지하차도,0,,dgsi,5,27000,151,,,35.88125299361368,128.63961301331642
730,1510002400,101,-,1,,dgsi,5,27000,151,,,35.881217993935586,128.6373690132064
731,1510002200,101,-,0,,dgsi,5,27000,151,,,35.88017399324452,128.64202701244577
732,1520001400,104,평리지하차도,0,,dgsi,5,27000,152,,,35.88049999435033,128.55486201346898
733,1510002000,101,-,0,,dgsi,5,27000,151,,,35.87897499415776,128.64324601393128
734,1520001200,101,평리네거리,1,,dgsi,5,27000,152,,,35.87907199431772,128.55484301271065
735,1570009500,103,-,0,,dgsi,5,27000,157,,,35.87923999342532,128.39745301284802
736,1570009300,101,-,0,,dgsi,5,27000,157,,,35.878292994293204,128.41633601256032
737,1510001700,101,효목네거리,1,,dgsi,5,27000,151,,,35.87654599374477,128.64502701358353
738,1570009200,101,-,0,,dgsi,5,27000,157,,,35.87676299365384,128.42089401338325
739,1520001000,101,평리광명네거리,1,,dgsi,5,27000,152,,,35.8755599935146,128.5549150131534
740,1510001500,101,반야월삼거리,1,,dgsi,5,27000,151,,,35.874324993238375,128.68802501342225
741,1510001300,104,-,0,,dgsi,5,27000,151,,,35.87253699418981,128.74027701415758
742,1510001200,104,-,0,,dgsi,5,27000,151,,,35.87243699415652,128.74179001386136
743,1510001000,104,-,0,,dgsi,5,27000,151,,,35.87201499343314,128.7477590129483
744,1550004900,101,-,0,,dgsi,5,27000,155,,,35.8719859937426,128.64798301305632
745,1510000900,101,송정삼거리,1,,dgsi,5,27000,151,,,35.87113399413353,128.73345101255427
746,1570009100,101,-,0,,dgsi,5,27000,157,,,35.87194899397684,128.4221820135317
747,1550004800,101,무열대삼거리,1,,dgsi,5,27000,155,,,35.870041994239756,128.64882801341145
748,1520000700,101,신평리네거리,1,,dgsi,5,27000,152,,,35.87045299430237,128.5549330131573
749,1510000600,101,-,1,,dgsi,5,27000,151,,,35.869318993615096,128.6932850132021
750,1510000500,101,-,0,,dgsi,5,27000,151,,,35.86734399389837,128.69636501267922
751,1510000400,101,안심주공네거리,1,,dgsi,5,27000,151,,,35.86675199329442,128.70164301344718
752,1510000300,101,안심중학삼거리,1,,dgsi,5,27000,151,,,35.866106993379105,128.7078840135301
753,1510000200,101,-,1,,dgsi,5,27000,151,,,35.86600099394589,128.7181140138191
754,1510000100,101,반야월네거리,1,,dgsi,5,27000,151,,,35.865989993075864,128.71354101392376
755,1520000600,101,남평리네거리,1,,dgsi,5,27000,152,,,35.8635479935624,128.55616701326377
