,LINK_ID,Source,Target,MAX_SPD
151,1520025400,1520007900,1520004200,70.0
152,1520025500,1520004200,1520007900,70.0
153,1520025600,1520007900,1520000700,70.0
154,1520025700,1520000600,1520007700,50.0
155,1520025800,1520007700,1520003200,50.0
156,1520029000,1520007600,1520000500,70.0
157,1520029100,1520000500,1520007600,70.0
158,1520029200,1520007600,1520003400,70.0
159,1520029300,1520000300,1560029800,40.0
160,1530026800,1560029800,1530006900,40.0
161,1530026900,1530006900,1560029800,40.0
162,1520029400,1560029800,1520000300,40.0
163,1560093700,1560026600,1560009900,50.0
164,1560093800,1560009900,1560026600,50.0
165,1560093900,1560026600,1560010000,30.0
166,1560094000,1560009400,1560026500,40.0
167,1560094100,1560026500,1560009800,40.0
168,1560094200,1560009800,1560026500,40.0
169,1560094300,1560026500,1560009400,40.0
170,1560099000,1560025000,1560000800,70.0
171,1560099100,1560000800,1560025000,70.0
172,1560099200,1560025000,1560000600,70.0
173,1560099300,1560000800,1560024800,40.0
174,1560099400,1560024800,1560006000,40.0
175,1560099500,1560006000,1560024800,40.0
176,1560099600,1560024800,1560000800,40.0
177,1560104000,1560023900,1560004600,60.0
178,1560104100,1560004600,1560023900,60.0
179,1560107100,1560023900,1560005100,50.0
180,1560107200,1560004600,1560023800,40.0
181,1560107300,1560023800,1560004300,40.0
182,1560107400,1560004300,1560023800,40.0
183,1560107500,1560023800,1560004600,40.0
184,1560079300,1560008500,1560026300,60.0
185,1560079400,1560026300,1560010700,60.0
186,1560079500,1560010700,1560026300,60.0
187,1560079600,1560026300,1560008500,60.0
188,1560079700,1560017400,1560027300,60.0
189,1560079800,1560027300,1560017300,60.0
190,1560092400,1560029200,1560021400,60.0
191,1560092500,1560021400,1560029200,60.0
192,1560092600,1560029200,1560029300,60.0
193,1560092700,1560003000,1560028300,70.0
194,1560092800,1560028300,1560002300,70.0
195,1560099800,1560002300,1560028300,70.0
196,1560099900,1560028300,1560003000,70.0
197,1560100700,1560028700,1560021300,50.0
198,1500026100,1500002300,1500007300,60.0
199,1500026200,1500007300,1500001100,60.0
200,1500026300,1500001100,1500007300,60.0
201,1500026400,1500007300,1500002300,60.0
202,1500026500,1500000400,1500007400,70.0
203,1500026600,1500007400,1500000200,70.0
204,1550055700,1550020600,1550016200,40.0
205,1550055800,1550016200,1550020600,40.0
206,1510049600,1550020600,1510009000,40.0
207,1510049700,1550020700,1510016900,80.0
208,1510049800,1510016900,1510016800,80.0
209,1510049900,1510016800,1510016900,80.0
210,1510050000,1510016900,1550020700,80.0
211,1510050400,1510016400,1510016500,50.0
212,1510050500,1510016400,1510016300,50.0
213,1510050600,1510016300,1510000900,50.0
214,1510050700,1510000900,1510016300,50.0
215,1510050800,1510016300,1510016400,50.0
216,1510050900,1510000200,1510015500,70.0
217,1510051000,1510015500,1510000701,70.0
218,1550057700,1550018300,1550005600,70.0
219,1550057800,1550005400,1550017900,70.0
220,1550066000,1550017900,1550005400,70.0
221,1550066100,1550017900,1550017800,70.0
222,1550066200,1550017800,1550005200,70.0
223,1550066300,1550005200,1550017800,70.0
224,1550066400,1550017800,1550017900,70.0
225,1570033000,1570013500,1570002900,80.0
226,1560100800,1560028100,1560018300,40.0
227,1560100900,1560009600,1560026700,50.0
228,1560101000,1560010000,1560026700,50.0
229,1560101100,1560026700,1560010000,50.0
230,1530027800,1530007600,1530001600,60.0
231,1530027900,1530007600,1530007500,60.0
232,1530028000,1530008100,1530008200,30.0
233,1530028100,1530008200,1530008100,30.0
234,1530028200,1530007800,1530008200,30.0
235,1530028300,1530008200,1530008300,30.0
236,1500033100,1500006600,1500009400,50.0
237,1500033200,1500006700,1500009400,50.0
238,1500033300,1500009000,1500009100,50.0
239,1500033400,1500009100,1500009200,50.0
240,1500033500,1500009200,1500009100,50.0
241,1500033600,1500009100,1500009000,50.0
242,1500033700,1500009100,1500009400,50.0
243,1500035900,1500000800,1500007800,70.0
244,1500036000,1500000700,1500007800,70.0
245,1500036100,1500007800,1500000700,70.0
246,1500036200,1500007800,1500000800,70.0
247,1500036300,1500003400,1500008000,50.0
248,1500036400,1500008000,1500007600,50.0
249,1500036500,1500007600,1500008000,50.0
250,1520023500,1520006600,1520008700,40.0
251,1520023600,1520006400,1520008700,40.0
252,1560101300,1560028900,1560029600,40.0
253,1560101400,1560029600,1560028900,40.0
254,1560101500,1560029500,1560029600,40.0
255,1560101600,1560029600,1560029700,40.0
256,1560101700,1560029700,1560029600,40.0
257,1560105900,1560007100,1560025200,60.0
258,1560106000,1560025200,1560007100,60.0
259,1540097900,1540030900,1540017100,40.0
260,1510058000,1510018200,1510017900,40.0
261,1510058100,1510017900,1510017700,40.0
262,1510058200,1510017700,1510017900,40.0
263,1510058300,1510017900,1510018200,40.0
264,1510062500,1510015400,1510005700,50.0
265,1510062600,1510015400,1510005800,50.0
266,1510062700,1510005800,1510015400,50.0
267,1510062800,1510005700,1510015400,50.0
268,1550067200,1550019300,1550007700,40.0
